district,neighborhood,total_listings,avg_price,avg_price_per_m2
 Üsküdar , Küplüce Mah.,3,25500.0,237.57548309178742
 Kağıthane , Çağlayan Mah.,59,19135.677966101695,237.51883383045097
 Büyükçekmece , Çakmaklı Mah.,9,27465.555555555555,237.46097936635226
 Ümraniye , Yamanevler Mah.,6,20750.0,236.32277788624538
 Üsküdar , İcadiye Mah.,11,18747.272727272728,235.38248597807421
 Sultanbeyli , Mecidiye Mah.,1,20000.0,235.2941176470588
 Sultanbeyli , Yavuz Selim Mah.,1,20000.0,235.2941176470588
 Ataşehir , Küçükbakkalköy Mah.,28,22059.464285714286,235.27607706553562
 Bahçelievler , Bahçelievler Mah.,95,30959.684210526317,235.0896521438782
 Fatih , Derviş Ali Mah.,3,16500.0,234.74969474969475
 Tuzla , Şifa Mah.,7,24357.14285714286,234.31480284421463
 Beykoz , Paşabahçe Mah.,12,24279.166666666668,233.8461607508431
 Başakşehir , Ziya Gökalp Mah.,34,29771.764705882353,233.66389421271566
 Üsküdar , Barbaros Mah.,12,49060.833333333336,233.64664879195183
 Silivri , Büyük Çavuşlu Mah.,1,14000.0,233.33333333333334
 Kadıköy , Acıbadem Mah.,13,29607.69230769231,232.9523969271351
 Maltepe , Girne Mah.,9,26530.0,232.95114644656982
 Kadıköy , Hasanpaşa Mah.,9,23811.11111111111,232.89165171997652
 Üsküdar , Küçük Çamlıca Mah.,7,23902.85714285714,232.46343130553655
 Kartal , Orhantepe Mah.,18,84969.44444444444,232.44046088641142
 Beyoğlu , Çatma Mescit Mah.,11,21824.545454545456,232.39772542272542
 Fatih , Karagümrük Mah.,5,32830.0,232.31982758620688
 Beylikdüzü , Büyükşehir Mah.,9,22185.555555555555,232.3011063011063
 Kartal , Atalar Mah.,7,26862.85714285714,230.77608894783518
 Maltepe , Esenkent Mah.,1,30000.0,230.76923076923077
 Kağıthane , Talatpaşa Mah.,36,22054.722222222223,230.49879627525786
 Üsküdar , Salacak Mah.,17,27644.117647058825,230.27286569942734
 Ataşehir , Mustafa Kemal Mah.,3,26666.666666666668,228.68996874111963
 Üsküdar , Bulgurlu Mah.,31,19103.225806451614,228.4515192762138
 Zeytinburnu , Yenidoğan Mah.,3,18300.0,228.27264239028946
 Kartal , Karlıktepe Mah.,9,24513.333333333332,227.94262606156312
 Beykoz , Çubuklu Mah.,30,47575.5,227.9235656409676
 Üsküdar , Ferah Mah.,5,22896.0,227.31333333333333
 Üsküdar , Kuleli Mah.,1,25000.0,227.27272727272728
 Bağcılar , Mahmutbey Mah.,20,19303.25,227.0583009826431
 Kartal , Yalı Mah.,6,14797.5,226.89300976800976
 Şile , Balibey Mah.,11,25770.909090909092,226.37789245810637
 Sultangazi , Yunus Emre Mah.,2,19500.0,226.25
 Ümraniye , Esenevler Mah.,5,27552.0,225.96470588235292
 Ümraniye , İstiklal Mah.,13,27570.384615384617,225.64641637899558
 Beyoğlu , Küçük Piyale Mah.,3,18833.333333333332,224.35729847494554
 Pendik , Sapan Bağları Mah.,5,23400.0,224.17562862669246
 Kadıköy , Feneryolu Mah.,15,25710.666666666668,223.4662644000879
 Maltepe , Fındıklı Mah.,36,19191.527777777777,222.46921673216428
 Beykoz , Kaynarca Mah.,1,20000.0,222.22222222222223
 Arnavutköy , Karlıbayır Mah.,1,20000.0,222.22222222222223
